recorded_at,utt_id,audio_path,speaker_id,sample_rate,channels,duration_seconds,device
2026-07-03T23:21:56,vise_0088,audio/vise_0088.wav,spk01,16000,1,7.78,default
2026-07-03T23:22:04,vise_0089,audio/vise_0089.wav,spk01,16000,1,7.06,default
2026-07-03T23:22:14,vise_0090,audio/vise_0090.wav,spk01,16000,1,8.61,default
2026-07-03T23:22:23,vise_0091,audio/vise_0091.wav,spk01,16000,1,7.11,default
2026-07-03T23:22:32,vise_0092,audio/vise_0092.wav,spk01,16000,1,8.08,default
2026-07-03T23:22:41,vise_0093,audio/vise_0093.wav,spk01,16000,1,7.56,default
2026-07-03T23:22:48,vise_0094,audio/vise_0094.wav,spk01,16000,1,6.04,default
2026-07-03T23:22:56,vise_0095,audio/vise_0095.wav,spk01,16000,1,6.40,default
2026-07-03T23:23:04,vise_0096,audio/vise_0096.wav,spk01,16000,1,7.27,default
2026-07-03T23:23:17,vise_0097,audio/vise_0097.wav,spk01,16000,1,10.43,default
2026-07-03T23:23:24,vise_0098,audio/vise_0098.wav,spk01,16000,1,6.25,default
2026-07-03T23:23:31,vise_0099,audio/vise_0099.wav,spk01,16000,1,6.16,default
2026-07-03T23:23:38,vise_0100,audio/vise_0100.wav,spk01,16000,1,5.83,default
